Time,tension_value
2025-09-10T12:00:00,403.1
2025-09-10T12:15:00,403.4
2025-09-10T12:30:00,402.7
2025-09-10T12:45:00,402.3
2025-09-10T13:00:00,401.9
2025-09-10T13:15:00,400.2
2025-09-10T13:30:00,399.1
2025-09-10T13:45:00,403.7
2025-09-10T14:00:00,403.6
2025-09-10T14:15:00,403.7
2025-09-10T14:30:00,403.5
2025-09-10T14:45:00,402.8
2025-09-10T15:00:00,403.3
2025-09-10T15:15:01,403.9
2025-09-10T15:30:00,404.1
2025-09-10T15:45:00,403.4
2025-09-10T16:00:00,404.2
2025-09-10T16:15:00,405.7
2025-09-10T16:30:00,406.2
2025-09-10T16:45:00,409.0
2025-09-10T17:00:00,406.3
2025-09-10T17:15:00,408.4
2025-09-10T17:30:00,405.7
2025-09-10T17:45:00,406.4
2025-09-10T18:00:00,407.6
2025-09-10T18:15:00,408.2
2025-09-10T18:30:00,408.6
2025-09-10T18:45:00,408.2
2025-09-10T19:00:00,406.5
2025-09-10T19:15:00,401.4
2025-09-10T19:30:00,402.0
2025-09-10T19:45:00,403.0
2025-09-10T20:00:00,403.1
2025-09-10T20:15:00,403.4
2025-09-10T20:30:00,403.6
2025-09-10T20:45:00,404.4
2025-09-10T21:00:00,403.4
2025-09-10T21:15:00,403.1
2025-09-10T21:30:00,402.2
2025-09-10T21:45:00,402.9
2025-09-10T22:00:00,404.3
2025-09-10T22:15:00,402.9
2025-09-10T22:30:00,403.0
2025-09-10T22:45:00,403.2
2025-09-10T23:00:00,404.2
2025-09-10T23:15:00,403.9
2025-09-10T23:30:00,404.3
2025-09-10T23:45:00,404.7
2025-09-11T00:00:00,405.5
2025-09-11T00:15:00,406.4
2025-09-11T00:30:00,406.5
2025-09-11T00:45:00,406.8
2025-09-11T01:00:00,407.4
2025-09-11T01:15:00,407.3
2025-09-11T01:30:00,407.4
2025-09-11T01:45:00,407.3
2025-09-11T02:00:00,407.9
2025-09-11T02:15:00,407.5
2025-09-11T02:30:00,408.2
2025-09-11T02:45:00,406.7
2025-09-11T03:00:00,407.4
2025-09-11T03:15:00,408.5
2025-09-11T03:30:00,408.3
2025-09-11T03:45:00,408.2
2025-09-11T04:00:00,409.3
2025-09-11T04:15:00,408.3
2025-09-11T04:30:00,408.8
2025-09-11T04:45:00,408.9
2025-09-11T05:00:00,409.4
2025-09-11T05:15:00,404.6
2025-09-11T05:30:00,405.7
2025-09-11T05:45:00,408.3
2025-09-11T06:00:00,405.1
2025-09-11T06:15:00,404.2
2025-09-11T06:30:00,403.3
2025-09-11T06:45:00,404.0
2025-09-11T07:00:00,403.5
2025-09-11T07:15:00,401.1
2025-09-11T07:30:00,401.8
2025-09-11T07:45:00,399.9
2025-09-11T08:00:00,404.0
2025-09-11T08:15:00,402.2
2025-09-11T08:30:00,400.0
2025-09-11T08:45:00,404.0
2025-09-11T09:00:00,403.8
2025-09-11T09:15:00,403.2
2025-09-11T09:30:00,407.5
2025-09-11T09:45:00,406.7
2025-09-11T10:00:00,406.0
2025-09-11T10:15:00,405.3
2025-09-11T10:30:00,406.5
2025-09-11T10:45:00,406.4
2025-09-11T11:00:00,406.8
2025-09-11T11:15:00,406.4
2025-09-11T11:30:00,406.1
2025-09-11T11:45:00,406.5
2025-09-11T12:00:00,405.7
2025-09-11T12:15:00,406.5
2025-09-11T12:30:00,406.9
2025-09-11T12:45:00,406.3
2025-09-11T13:00:00,407.3
2025-09-11T13:15:00,406.0
2025-09-11T13:30:00,405.1
2025-09-11T13:45:00,405.5
2025-09-11T14:00:00,405.1
2025-09-11T14:15:00,403.3
2025-09-11T14:30:00,402.7
2025-09-11T14:45:00,402.9
2025-09-11T15:00:00,402.5
2025-09-11T15:15:00,401.9
2025-09-11T15:30:00,402.3
2025-09-11T15:45:00,401.6
2025-09-11T16:00:00,402.4
2025-09-11T16:15:00,402.9
2025-09-11T16:30:00,403.4
2025-09-11T16:45:00,403.8
2025-09-11T17:00:00,404.9
2025-09-11T17:15:00,406.9
2025-09-11T17:30:00,408.8
2025-09-11T17:45:00,400.6
2025-09-11T18:00:00,400.4
2025-09-11T18:15:00,400.7
2025-09-11T18:30:00,399.8
2025-09-11T18:45:00,400.0
2025-09-11T19:00:00,400.7
2025-09-11T19:15:00,401.1
2025-09-11T19:30:00,400.8
2025-09-11T19:45:00,401.9
2025-09-11T20:00:00,401.6
2025-09-11T20:15:00,403.2
2025-09-11T20:30:00,402.9
2025-09-11T20:45:00,404.1
2025-09-11T21:00:00,404.4
2025-09-11T21:15:00,404.6
2025-09-11T21:30:00,403.9
2025-09-11T21:45:00,405.4
2025-09-11T22:00:00,405.6
2025-09-11T22:15:00,405.7
2025-09-11T22:30:00,406.6
2025-09-11T22:45:00,405.7
2025-09-11T23:00:00,405.4
2025-09-11T23:15:00,406.5
2025-09-11T23:30:00,406.8
2025-09-11T23:45:00,405.9
2025-09-12T00:00:00,407.2
2025-09-12T00:15:00,407.8
2025-09-12T00:30:00,408.0
2025-09-12T00:45:00,408.5
2025-09-12T01:00:00,408.4
2025-09-12T01:15:00,408.0
2025-09-12T01:30:00,407.9
2025-09-12T01:45:00,408.0
2025-09-12T02:00:00,407.5
2025-09-12T02:15:00,408.0
2025-09-12T02:30:00,408.3
2025-09-12T02:45:00,408.2
2025-09-12T03:00:00,408.5
2025-09-12T03:15:00,408.7
2025-09-12T03:30:00,409.1
2025-09-12T03:45:00,404.2
2025-09-12T04:00:00,404.4
2025-09-12T04:15:00,404.5
2025-09-12T04:30:00,405.2
2025-09-12T04:45:00,406.0
2025-09-12T05:00:00,406.0
2025-09-12T05:15:00,407.7
2025-09-12T05:30:00,407.0
2025-09-12T05:45:00,405.2
2025-09-12T06:00:00,405.3
2025-09-12T06:15:00,405.7
2025-09-12T06:30:00,404.5
2025-09-12T06:45:00,403.9
2025-09-12T07:00:00,402.7
2025-09-12T07:15:00,400.8
2025-09-12T07:30:00,400.4
2025-09-12T07:45:00,403.5
2025-09-12T08:00:00,402.8
2025-09-12T08:15:00,400.4
2025-09-12T08:30:00,399.5
2025-09-12T08:45:00,404.8
2025-09-12T09:00:00,404.4
2025-09-12T09:15:00,404.5
2025-09-12T09:30:00,404.4
2025-09-12T09:45:00,404.2
2025-09-12T10:00:00,404.3
2025-09-12T10:15:00,403.8
2025-09-12T10:30:00,403.2
2025-09-12T10:45:00,402.8
2025-09-12T11:00:00,402.8
2025-09-12T11:15:00,402.4
2025-09-12T11:30:00,402.1
2025-09-12T11:45:00,402.2
2025-09-12T12:00:00,402.1
2025-09-12T12:15:00,403.3
2025-09-12T12:30:00,403.2
2025-09-12T12:45:00,403.6
2025-09-12T13:00:00,403.4
2025-09-12T13:15:00,403.2
2025-09-12T13:30:00,402.5
2025-09-12T13:45:00,402.0
2025-09-12T14:00:00,401.7
